County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Bedford City,Virginia,51515,No Data,No Data,No Data
Shannon County,South Dakota,46113,No Data,No Data,No Data
Wrangell-Petersburg Census Area,Alaska,2280,No Data,No Data,No Data
Wade Hampton Census Area,Alaska,2270,No Data,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,2232,No Data,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,2201,No Data,No Data,No Data
Teton County,Wyoming,56039,3.9,2.7,5.3
Eagle County,Colorado,8037,4.3,3,6
Chattahoochee County,Georgia,13053,4.4,2.8,6.7
Summit County,Utah,49043,4.4,3.4,5.6
Arlington County,Virginia,51013,4.4,3.3,5.7
Boulder County,Colorado,8013,4.6,3.8,5.4
Riley County,Kansas,20161,4.7,3.6,5.9
Douglas County,Colorado,8035,5,4.2,6
Gallatin County,Montana,30031,5.1,4,6.4
Denver County,Colorado,8031,5.2,4.5,5.9
Routt County,Colorado,8107,5.3,3.6,7.4
Johnson County,Iowa,19103,5.3,3.9,6.9
Larimer County,Colorado,8069,5.4,4.4,6.3
Gunnison County,Colorado,8051,5.5,3.6,7.7
Summit County,Colorado,8117,5.5,3.5,7.8
La Plata County,Colorado,8067,5.7,4.2,7.5
Wasatch County,Utah,49051,5.7,4.5,7
Garfield County,Colorado,8045,5.8,4.2,8
Pitkin County,Colorado,8097,5.8,3.6,8.5
Story County,Iowa,19169,5.8,4.3,7.4
Clay County,South Dakota,46027,5.8,3.7,8.6
Cache County,Utah,49005,5.8,4.7,7
Douglas County,Kansas,20045,5.9,5,7
Brookings County,South Dakota,46011,5.9,4.9,7.1
Loudoun County,Virginia,51107,5.9,4.5,7.5
Jefferson County,Colorado,8059,6,5.3,6.9
Chittenden County,Vermont,50007,6,5.1,6.8
Harrisonburg City,Virginia,51660,6,3.8,8.8
Albany County,Wyoming,56001,6,4.6,7.4
Fairbanks North Star Borough,Alaska,2090,6.1,5,7.3
Latah County,Idaho,16057,6.1,4.6,8.1
Tompkins County,New York,36109,6.1,4.7,7.5
Albemarle County,Virginia,51003,6.1,4.3,8.3
Alexandria City,Virginia,51510,6.1,4.5,8
Dane County,Wisconsin,55025,6.1,4.6,7.7
Centre County,Pennsylvania,42027,6.2,4.6,8
Utah County,Utah,49049,6.2,5.4,6.9
Tippecanoe County,Indiana,18157,6.3,4.8,8.1
Clay County,Minnesota,27027,6.3,4.6,8.2
Santa Fe County,New Mexico,35049,6.4,5.3,7.5
Frio County,Texas,48163,6.4,3.9,9.7
La Salle County,Texas,48283,6.4,4,9.6
Midland County,Texas,48329,6.4,4.2,8.9
Radford City,Virginia,51750,6.4,3.8,9.5
Teton County,Idaho,16081,6.5,4.1,9.2
Monroe County,Indiana,18105,6.5,4.8,8.2
Ellis County,Kansas,20051,6.5,4.7,8.5
Blue Earth County,Minnesota,27013,6.5,4.8,8.4
Garza County,Texas,48169,6.5,3.8,10.2
Blaine County,Idaho,16013,6.6,4.6,8.8
Geary County,Kansas,20061,6.6,4.9,8.5
Thomas County,Kansas,20193,6.6,4.3,9.9
Hennepin County,Minnesota,27053,6.6,6.1,7.2
Pulaski County,Missouri,29169,6.6,4.4,9.6
Orange County,North Carolina,37135,6.6,4.7,9.3
Bee County,Texas,48025,6.6,4,9.9
Manassas City,Virginia,51683,6.6,4.1,10.2
Portage County,Wisconsin,55097,6.6,4.4,9.5
Coconino County,Arizona,4005,6.7,5.4,8.1
Arapahoe County,Colorado,8005,6.7,6,7.5
Benton County,Oregon,41003,6.7,4.8,8.7
Andrews County,Texas,48003,6.7,4.1,10.2
Reeves County,Texas,48389,6.7,4.3,10.3
Lamoille County,Vermont,50015,6.7,5.4,8.3
Fairfax County,Virginia,51059,6.7,5.3,8.1
Montgomery County,Virginia,51121,6.7,5,8.8
Jefferson County,Wisconsin,55055,6.7,4.7,9.2
Grand County,Colorado,8049,6.8,4.6,9.9
San Miguel County,Colorado,8113,6.8,4.5,9.6
Carver County,Minnesota,27019,6.8,5,9
Los Alamos County,New Mexico,35028,6.8,4.7,9.6
Cass County,North Dakota,38017,6.8,5.9,7.7
Childress County,Texas,48075,6.8,4.2,10.7
Gaines County,Texas,48165,6.8,4.1,10.1
Williamsburg City,Virginia,51830,6.8,4.2,10.1
Whitman County,Washington,53075,6.8,5.3,8.7
Broomfield County,Colorado,8014,6.9,5,9.3
Toole County,Montana,30101,6.9,4.5,9.8
Durham County,North Carolina,37063,6.9,4.9,9
Watauga County,North Carolina,37189,6.9,4.6,10.1
Kleberg County,Texas,48273,6.9,4.3,10.6
Ochiltree County,Texas,48357,6.9,4.1,10.8
Winkler County,Texas,48495,6.9,4.1,10.5
Morgan County,Utah,49029,6.9,4.5,10
Kittitas County,Washington,53037,6.9,5.1,9
El Paso County,Colorado,8041,7,6.2,7.9
Missoula County,Montana,30063,7,5.4,8.7
New York County,New York,36061,7,6.1,7.9
Onslow County,North Carolina,37133,7,4.9,9.5
Crane County,Texas,48103,7,4,10.7
Martin County,Texas,48317,7,4.2,10.7
Willacy County,Texas,48489,7,4.3,10.7
Lexington City,Virginia,51678,7,4.4,10.4
Campbell County,Wyoming,56005,7,5.6,8.5
Bethel Census Area,Alaska,2050,7.1,5,9.6
San Francisco County,California,6075,7.1,5.3,9.2
Lake County,Colorado,8065,7.1,4.6,9.7
Monroe County,Florida,12087,7.1,5.6,8.7
Jerome County,Idaho,16053,7.1,4.9,9.5
Brown County,Illinois,17009,7.1,4.2,10.6
Buffalo County,Nebraska,31019,7.1,5.6,8.6
Morris County,New Jersey,34027,7.1,5.9,8.5
Concho County,Texas,48095,7.1,4.4,11.2
Dawson County,Texas,48115,7.1,4.2,10.5
Erath County,Texas,48143,7.1,4.3,10.9
Karnes County,Texas,48255,7.1,4.5,10.8
Reagan County,Texas,48383,7.1,4.5,10.6
Val Verde County,Texas,48465,7.1,4.6,10.6
Walker County,Texas,48471,7.1,4.4,10.3
Salt Lake County,Utah,49035,7.1,6.6,7.6
Charlottesville City,Virginia,51540,7.1,4.4,10.4
Manassas Park City,Virginia,51685,7.1,4.7,10.5
Chelan County,Washington,53007,7.1,5.2,9.4
Yolo County,California,6113,7.2,5.2,9.6
Elbert County,Colorado,8039,7.2,5.3,9.5
Weld County,Colorado,8123,7.2,6.2,8.4
Madison County,Idaho,16065,7.2,5.2,9.6
Dekalb County,Illinois,17037,7.2,4.8,9.9
Rice County,Minnesota,27131,7.2,5.2,9.2
Lancaster County,Nebraska,31109,7.2,6.4,8
Bergen County,New Jersey,34003,7.2,5.8,8.9
Hunterdon County,New Jersey,34019,7.2,5.7,8.7
Mchenry County,North Dakota,38049,7.2,4.8,9.9
Stark County,North Dakota,38089,7.2,5.7,8.8
Brazos County,Texas,48041,7.2,6.1,8.3
Chambers County,Texas,48071,7.2,4.5,11.2
Comal County,Texas,48091,7.2,4.8,9.9
Madison County,Texas,48313,7.2,4.5,10.8
Mitchell County,Texas,48335,7.2,4.2,11
Pecos County,Texas,48371,7.2,4.5,10.7
Yoakum County,Texas,48501,7.2,4.4,10.6
Zapata County,Texas,48505,7.2,4.4,10.9
Zavala County,Texas,48507,7.2,4.3,10.9
King County,Washington,53033,7.2,6.7,7.8
Kusilvak Census Area,Alaska,2158,7.3,4.7,10.4
Knox County,Maine,23013,7.3,5.9,8.7
Montgomery County,Maryland,24031,7.3,6.6,8.1
Ravalli County,Montana,30081,7.3,5.2,9.9
Davison County,South Dakota,46035,7.3,4.8,10.3
Trousdale County,Tennessee,47169,7.3,4.7,11.2
Bailey County,Texas,48017,7.3,4.6,11
Deaf Smith County,Texas,48117,7.3,4.6,10.9
Parmer County,Texas,48369,7.3,4.3,11.3
Travis County,Texas,48453,7.3,6.5,8.2
Davis County,Utah,49011,7.3,6.4,8.3
Niobrara County,Wyoming,56027,7.3,4.4,10.7
Archuleta County,Colorado,8007,7.4,4.8,10.7
Rio Blanco County,Colorado,8103,7.4,5,10.2
Middlesex County,Connecticut,9007,7.4,6,8.9
Echols County,Georgia,13101,7.4,4.6,11
Long County,Georgia,13183,7.4,4.8,10.6
Dallas County,Iowa,19049,7.4,5.5,9.5
Oldham County,Kentucky,21185,7.4,5.5,9.8
Olmsted County,Minnesota,27109,7.4,6,8.8
Boone County,Missouri,29019,7.4,5.5,9.3
Putnam County,New York,36079,7.4,5.7,9.2
Westchester County,New York,36119,7.4,6.2,8.7
Williams County,North Dakota,38105,7.4,6,9.4
