County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Bedford City,Virginia,51515,No Data,No Data,No Data
Shannon County,South Dakota,46113,No Data,No Data,No Data
Wrangell-Petersburg Census Area,Alaska,2280,No Data,No Data,No Data
Wade Hampton Census Area,Alaska,2270,No Data,No Data,No Data
Valdez-Cordova Census Area,Alaska,2261,No Data,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,2232,No Data,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,2201,No Data,No Data,No Data
Loving County,Texas,48301,Suppressed,Suppressed,Suppressed
Kalawao County,Hawaii,15005,12,7.3,18
King County,Texas,48269,17.6,10.5,26.7
Kenedy County,Texas,48261,26.5,16.1,41.2
Arthur County,Nebraska,31005,29.3,16.7,45.9
Blaine County,Nebraska,31009,33.1,19.1,52.2
Mcpherson County,Nebraska,31117,36,22.3,53.8
Petroleum County,Montana,30069,43,25.7,69.1
Grant County,Nebraska,31075,46.4,29.3,71
Hooker County,Nebraska,31091,47.5,29,74.1
Yakutat City and Borough,Alaska,2282,49.6,28,77.2
Borden County,Texas,48033,51.1,28.8,81.2
Roberts County,Texas,48393,51.9,30.3,80.1
Mcmullen County,Texas,48311,53.2,31,80.6
Clark County,Idaho,16033,53.5,32,82.1
Kent County,Texas,48263,53.5,29.4,82.9
Treasure County,Montana,30103,54.1,30.6,85.7
Thomas County,Nebraska,31171,54.9,31.4,86.9
Banner County,Nebraska,31007,55.2,33.7,83.9
Logan County,Nebraska,31113,55.3,34.5,81.7
Terrell County,Texas,48443,57.5,34.3,87.7
San Juan County,Colorado,8111,58.2,35.8,91.8
Wheeler County,Nebraska,31183,58.6,34.9,91.1
Slope County,North Dakota,38087,59.5,34.9,95.6
Harding County,New Mexico,35021,60.7,37.3,89.9
Bristol Bay Borough,Alaska,2060,62.3,42.7,87.2
Mineral County,Colorado,8079,64.1,37.4,102.4
Billings County,North Dakota,38007,64.3,38.6,100.4
Greeley County,Kansas,20071,66,38,96.8
Hinsdale County,Colorado,8053,66.1,38.1,104.6
Golden Valley County,Montana,30037,67.7,41.1,104.9
Skagway Municipality,Alaska,2230,67.8,40,108.5
Sterling County,Texas,48431,69.3,42.3,106
Jones County,South Dakota,46075,70.3,40.7,111.9
Loup County,Nebraska,31115,71.2,43.9,103.8
Keya Paha County,Nebraska,31103,71.4,44.6,105.8
Hayes County,Nebraska,31085,72.6,43.4,109.4
Wibaux County,Montana,30109,74.7,42.8,116.8
Esmeralda County,Nevada,32009,76.8,41.7,117.2
Daggett County,Utah,49009,78,44.1,120.5
Harding County,South Dakota,46063,82,48.1,128.2
Glasscock County,Texas,48173,82.7,46.2,129.2
Carter County,Montana,30011,83.7,51.4,128.1
Sioux County,Nebraska,31165,85.5,48.3,133.2
Garfield County,Montana,30033,85.6,49.8,132.3
Foard County,Texas,48155,85.7,49.8,133.2
Alpine County,California,6003,86.8,50.6,138.6
Camas County,Idaho,16025,87,49.4,141.4
Lake and Peninsula Borough,Alaska,2164,87.9,49.9,131.5
Prairie County,Montana,30079,88.5,52.9,137.2
Issaquena County,Mississippi,28055,93,53,142.7
Motley County,Texas,48345,93.7,55.4,153.1
Wallace County,Kansas,20199,96,57.7,143.3
Hyde County,South Dakota,46069,96.5,59.6,144.6
Stonewall County,Texas,48433,98.3,58.7,159.9
Cottle County,Texas,48101,99.3,56.3,155.5
Sully County,South Dakota,46119,99.5,59.8,152.6
Irion County,Texas,48235,106.9,62.1,166.7
Kiowa County,Colorado,8061,107.2,62.2,165.7
Campbell County,South Dakota,46021,107.3,60.3,168.4
Briscoe County,Texas,48045,108,61.4,173.3
Clark County,Kansas,20025,108.1,63.5,162.4
Throckmorton County,Texas,48447,108.3,64.9,161.7
Lane County,Kansas,20101,109.6,65.2,162.6
Piute County,Utah,49031,112.2,68.2,169.7
Stanton County,Kansas,20187,112.8,68.9,172.2
Jackson County,Colorado,8057,113.1,68,169
Denali Borough,Alaska,2068,115.1,70.1,174.3
Mccone County,Montana,30055,115.1,66.5,172.2
Cheyenne County,Colorado,8017,120.2,68.2,183.2
Deuel County,Nebraska,31049,122.5,74.3,185.5
Wheeler County,Oregon,41069,123.7,72.2,197.1
Oliver County,North Dakota,38065,124.9,75.1,193.6
Armstrong County,Texas,48011,126,70.6,200.1
Hodgeman County,Kansas,20083,127.9,79,190.1
Comanche County,Kansas,20033,128.8,77.3,199.5
Oldham County,Texas,48359,129.1,72.6,201.8
Buffalo County,South Dakota,46017,130.3,85.9,186.7
Rich County,Utah,49033,132.2,75.2,207.5
Faulk County,South Dakota,46049,135.5,80.5,204.3
Judith Basin County,Montana,30045,136,82.1,205.3
Rock County,Nebraska,31149,136,89.7,185.5
Eureka County,Nevada,32011,136.5,82.4,209.3
Culberson County,Texas,48109,136.9,81.3,209.7
Hamilton County,Kansas,20075,138,84.1,210
Sherman County,Oregon,41055,138.2,83.4,206.2
Sheridan County,North Dakota,38083,138.3,86.6,199.2
Daniels County,Montana,30019,139,86.6,206.6
Meagher County,Montana,30059,141.1,85,213.6
Garden County,Nebraska,31069,141.2,83.6,212.2
Fallon County,Montana,30025,141.9,85.4,215.3
Golden Valley County,North Dakota,38033,142.3,88.8,211.6
Taliaferro County,Georgia,13265,142.7,81.5,221.3
Cimarron County,Oklahoma,40025,144.1,82.5,221
Haakon County,South Dakota,46055,144.5,95.2,204.6
Worth County,Missouri,29227,144.7,88.2,232.6
Renville County,North Dakota,38075,144.9,87.4,222
Gilliam County,Oregon,41021,146.4,86,227.8
Dundy County,Nebraska,31057,146.8,96.2,207.7
Logan County,North Dakota,38047,148.9,94.9,220.8
Dickens County,Texas,48125,149.2,84.4,230.4
Edwards County,Texas,48137,149.6,86.9,241.9
Jerauld County,South Dakota,46073,149.7,84.2,237.3
Gosper County,Nebraska,31073,150.3,90.5,222.1
Burke County,North Dakota,38013,150.4,94.9,222.4
De Baca County,New Mexico,35011,152.1,95.5,226.6
Wichita County,Kansas,20203,152.5,93.4,227
Wheatland County,Montana,30107,153.3,92.1,235.3
Niobrara County,Wyoming,56027,154.5,94.1,222.6
Garfield County,Nebraska,31071,155.8,102.7,220.6
Mcpherson County,South Dakota,46089,157.6,92.6,245.3
Towner County,North Dakota,38095,157.9,100.8,238.4
Robertson County,Kentucky,21201,158,93.2,254.8
Bowman County,North Dakota,38011,162.5,99.5,240.7
Harmon County,Oklahoma,40057,163.3,95.3,251
Kidder County,North Dakota,38043,163.4,101.1,249.4
Mellette County,South Dakota,46095,164,117,224.2
Miner County,South Dakota,46097,164.9,95.2,251.3
Sedgwick County,Colorado,8115,165.2,99.9,256.2
Steele County,North Dakota,38091,165.4,104.1,234.1
Adams County,North Dakota,38001,165.6,103.5,247.4
Sanborn County,South Dakota,46111,165.7,99.1,245.1
Greeley County,Nebraska,31077,166.2,108.7,235.6
Sheridan County,Kansas,20179,166.3,100.1,256.2
Eddy County,North Dakota,38027,167.5,111.4,243.8
Boyd County,Nebraska,31015,167.8,106.7,242.4
Cochran County,Texas,48079,167.8,101.2,255.6
Dolores County,Colorado,8033,167.9,99,281
Graham County,Kansas,20065,168.2,101.7,264.2
Hettinger County,North Dakota,38041,168.2,107.2,253.3
Liberty County,Montana,30051,169.8,102.6,261.3
Sherman County,Texas,48421,170.2,98.7,269.6
Griggs County,North Dakota,38039,170.7,102.6,244.7
Schleicher County,Texas,48413,174.2,101.8,277.3
Menard County,Texas,48327,174.6,98,286.6
Morton County,Kansas,20129,175.2,108,251.8
Collingsworth County,Texas,48087,175.7,101.8,275.9
Divide County,North Dakota,38023,177.5,109.9,259.3
Hoonah-Angoon Census Area,Alaska,2105,177.6,102.7,272.2
Potter County,South Dakota,46107,180.4,108.3,274.9
Reagan County,Texas,48383,185.7,104,312.2
Lipscomb County,Texas,48295,186.3,111.2,291.3
Garfield County,Washington,53023,186.4,133.4,260.2
Logan County,Kansas,20109,186.5,112.9,283.2
Powder River County,Montana,30075,186.6,124.5,261.6
Kiowa County,Kansas,20097,187.7,113.9,279.5
Aurora County,South Dakota,46003,188,107.9,289
Keweenaw County,Michigan,26083,189.1,113,291.4
Rawlins County,Kansas,20153,190.9,116.2,286.5
Perkins County,Nebraska,31135,191.7,127.4,280.4
Frontier County,Nebraska,31063,192.5,129,277.4
Wayne County,Utah,49055,195.4,125.9,303.4
Highland County,Virginia,51091,195.7,112.7,315.3
Haines Borough,Alaska,2100,195.8,129.3,283.4
