Diagnosed Diabetes; Total (Total); Adults Aged 20+ Years; Crude Percentage; U.S. Counties; 2018
Data downloaded on 12-April-2023
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Bedford City,Virginia,51515,No Data,No Data,No Data
Shannon County,South Dakota,46113,No Data,No Data,No Data
Wrangell-Petersburg Census Area,Alaska,02280,No Data,No Data,No Data
Wade Hampton Census Area,Alaska,02270,No Data,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,02232,No Data,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,02201,No Data,No Data,No Data
Teton County,Wyoming,56039,4,2.6,5.5
Chattahoochee County,Georgia,13053,4.7,2.7,7.8
Gallatin County,Montana,30031,4.8,3.4,6.5
Eagle County,Colorado,08037,5.3,3.5,7.7
Summit County,Utah,49043,5.3,3.8,7
Benton County,Oregon,41003,5.5,3.8,7.6
Cache County,Utah,49005,5.5,4.2,6.9
Arlington County,Virginia,51013,5.5,3.9,7.1
Loudoun County,Virginia,51107,5.5,4.1,7.1
Alexandria City,Virginia,51510,5.5,3.9,7.6
Dane County,Wisconsin,55025,5.5,4.1,7.1
Larimer County,Colorado,08069,5.6,4.6,6.8
Summit County,Colorado,08117,5.6,3.5,8.4
Boulder County,Colorado,08013,5.8,4.6,6.9
Denver County,Colorado,08031,5.8,5.1,6.8
Riley County,Kansas,20161,5.8,4.5,7.3
Douglas County,Colorado,08035,5.9,4.7,7.2
Gunnison County,Colorado,08051,6,3.6,8.8
Fairfax County,Virginia,51059,6,4.8,7.2
Harrisonburg City,Virginia,51660,6,3.6,9.6
Garfield County,Colorado,08045,6.1,4.2,8.3
La Plata County,Colorado,08067,6.1,4,8.6
Madison County,Idaho,16065,6.1,4.1,8.4
Wasatch County,Utah,49051,6.1,4.5,7.8
Utah County,Utah,49049,6.2,5.4,7
Santa Cruz County,California,06087,6.3,3.9,8.7
Blaine County,Idaho,16013,6.3,4.1,9.2
La Salle County,Texas,48283,6.3,3.8,9.9
Radford City,Virginia,51750,6.3,3.5,10.1
Jefferson County,Colorado,08059,6.4,5.5,7.5
Fillmore County,Minnesota,27045,6.4,4.1,9.3
Missoula County,Montana,30063,6.4,4.8,8.1
Tompkins County,New York,36109,6.4,5,7.9
Coryell County,Texas,48099,6.4,3.8,9.8
Midland County,Texas,48329,6.4,3.9,9.7
Broomfield County,Colorado,08014,6.5,4.4,9
Routt County,Colorado,08107,6.5,3.9,9.6
Dallas County,Iowa,19049,6.5,4.8,8.8
Frio County,Texas,48163,6.5,3.8,10
Juneau City and Borough,Alaska,02110,6.6,4.8,9
Kusilvak Census Area,Alaska,02158,6.6,3.9,10.2
San Francisco County,California,06075,6.6,4.7,8.8
Grand County,Colorado,08049,6.6,4.2,9.5
Dekalb County,Illinois,17037,6.6,4.1,9.4
Kleberg County,Texas,48273,6.6,3.8,10.5
Reeves County,Texas,48389,6.6,3.6,10.9
Elbert County,Colorado,08039,6.7,4.3,9.8
El Paso County,Colorado,08041,6.7,5.8,7.7
Latah County,Idaho,16057,6.7,4.9,9.1
Douglas County,Kansas,20045,6.7,5.4,8.1
New York County,New York,36061,6.7,5.8,7.7
Gaines County,Texas,48165,6.7,4,10.7
Garza County,Texas,48169,6.7,3.9,10.8
San Juan County,Washington,53055,6.7,4.7,9.4
La Crosse County,Wisconsin,55063,6.7,4.6,9.1
Coconino County,Arizona,04005,6.8,5.7,8.2
Alameda County,California,06001,6.8,5.4,8.4
Haralson County,Georgia,13143,6.8,4.2,10.7
Teton County,Idaho,16081,6.8,4.2,10.2
Seward County,Kansas,20175,6.8,4.5,9.6
Hampshire County,Massachusetts,25015,6.8,5,9.1
Pulaski County,Missouri,29169,6.8,4.2,10.1
Lubbock County,Texas,48303,6.8,4.4,10.1
Skagway Municipality,Alaska,02230,6.9,4,11.2
Pitkin County,Colorado,08097,6.9,4.2,10.4
Middlesex County,Massachusetts,25017,6.9,6.1,7.8
Hennepin County,Minnesota,27053,6.9,6.3,7.5
Rice County,Minnesota,27131,6.9,5.2,8.9
Stark County,North Dakota,38089,6.9,5,8.8
Denton County,Texas,48121,6.9,4.7,9.6
Travis County,Texas,48453,6.9,6,7.8
Chittenden County,Vermont,50007,6.9,5.9,7.9
Whitman County,Washington,53075,6.9,5.3,8.7
Kodiak Island Borough,Alaska,02150,7,4.6,9.6
Valdez-Cordova Census Area,Alaska,02261,7,4.6,9.8
Nevada County,California,06057,7,4.3,10.8
Johnson County,Iowa,19103,7,5.4,8.7
Emmet County,Michigan,26047,7,4.6,9.8
Boone County,Missouri,29019,7,5.2,9.3
Childress County,Texas,48075,7,3.9,11
Hudspeth County,Texas,48229,7,4,11
Loving County,Texas,48301,7,3.7,11.3
Reagan County,Texas,48383,7,4.1,11.2
Manassas Park City,Virginia,51685,7,4.1,11
Kittitas County,Washington,53037,7,5.2,8.9
Johnson County,Wyoming,56019,7,4.4,9.8
Lake County,Colorado,08065,7.1,4.2,10.6
San Miguel County,Colorado,08113,7.1,4,11
Brown County,Illinois,17009,7.1,4,11.1
Dupage County,Illinois,17043,7.1,5.5,8.8
Winneshiek County,Iowa,19191,7.1,4.6,10.3
Sherburne County,Minnesota,27141,7.1,5.5,8.9
Bee County,Texas,48025,7.1,3.9,11.2
Maverick County,Texas,48323,7.1,3.7,11.2
Val Verde County,Texas,48465,7.1,3.9,11.6
Walker County,Texas,48471,7.1,4.2,10.8
Willacy County,Texas,48489,7.1,4.2,11.2
Zapata County,Texas,48505,7.1,4,11.7
Pierce County,Wisconsin,55093,7.1,4.5,11
Denali Borough,Alaska,02068,7.2,4.3,11.1
Fairbanks North Star Borough,Alaska,02090,7.2,5.9,8.8
North Slope Borough,Alaska,02185,7.2,4.4,10.9
Santa Barbara County,California,06083,7.2,5.2,9.6
Rio Blanco County,Colorado,08103,7.2,4.4,11.2
Clarke County,Georgia,13059,7.2,4.9,9.9
Hancock County,Iowa,19081,7.2,4.3,11.1
Nantucket County,Massachusetts,25019,7.2,4.2,10.7
Grand Traverse County,Michigan,26055,7.2,5.2,9.5
Hunterdon County,New Jersey,34019,7.2,5.3,9.3
Watauga County,North Carolina,37189,7.2,4.2,10.9
Mckenzie County,North Dakota,38053,7.2,5,10
Brookings County,South Dakota,46011,7.2,6,8.5
Collin County,Texas,48085,7.2,5,10
Deaf Smith County,Texas,48117,7.2,4.2,11.9
Ector County,Texas,48135,7.2,4.4,10.7
Karnes County,Texas,48255,7.2,4.2,11.6
Moore County,Texas,48341,7.2,4,11.4
Zavala County,Texas,48507,7.2,4,11.4
Falls Church City,Virginia,51610,7.2,4.2,11.5
Lexington City,Virginia,51678,7.2,4.3,12.2
Nome Census Area,Alaska,02180,7.3,4.9,10.3
Placer County,California,06061,7.3,5.3,9.7
Arapahoe County,Colorado,08005,7.3,6.4,8.4
Crowley County,Colorado,08025,7.3,4.2,11.6
Clay County,Minnesota,27027,7.3,5.5,9.5
Santa Fe County,New Mexico,35049,7.3,5.9,8.6
Orange County,North Carolina,37135,7.3,4.6,10.6
Trousdale County,Tennessee,47169,7.3,4.1,11.3
Andrews County,Texas,48003,7.3,4,11.6
Concho County,Texas,48095,7.3,4.3,11.8
Dawson County,Texas,48115,7.3,4.3,12.1
Hale County,Texas,48189,7.3,4.2,11.6
Ochiltree County,Texas,48357,7.3,4,11.7
Webb County,Texas,48479,7.3,4.5,11.3
Winkler County,Texas,48495,7.3,4.3,11.3
Salt Lake County,Utah,49035,7.3,6.6,7.9
Charlottesville City,Virginia,51540,7.3,4.4,10.6
Albany County,Wyoming,56001,7.3,5.7,9
Campbell County,Wyoming,56005,7.3,5.6,9.2
Fairfield County,Connecticut,09001,7.4,6.8,8
Jerome County,Idaho,16053,7.4,4.6,10.4
Jefferson County,Iowa,19101,7.4,4.5,10.9
Phelps County,Missouri,29161,7.4,4.4,11.4
Flathead County,Montana,30029,7.4,5.7,9.6
Grafton County,New Hampshire,33009,7.4,5.9,9
Los Alamos County,New Mexico,35028,7.4,4.5,10.7
Durham County,North Carolina,37063,7.4,5.1,10
New Hanover County,North Carolina,37129,7.4,5.1,10.2
Erath County,Texas,48143,7.4,4.4,11.5
Hartley County,Texas,48205,7.4,4.4,11.9
Martin County,Texas,48317,7.4,4.1,11.6
Upton County,Texas,48461,7.4,4.3,11.5
Yoakum County,Texas,48501,7.4,4.2,12.1
Aleutians West Census Area,Alaska,02016,7.5,4.7,11.1
