Diagnosed Diabetes; Total (Total); Adults Aged 20+ Years; Crude Number; U.S. Counties; 2019
Data downloaded on 12-April-2023
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Bedford City,Virginia,51515,No Data,No Data,No Data
Shannon County,South Dakota,46113,No Data,No Data,No Data
Warren County,New Jersey,34041,No Data,No Data,No Data
Union County,New Jersey,34039,No Data,No Data,No Data
Sussex County,New Jersey,34037,No Data,No Data,No Data
Somerset County,New Jersey,34035,No Data,No Data,No Data
Salem County,New Jersey,34033,No Data,No Data,No Data
Passaic County,New Jersey,34031,No Data,No Data,No Data
Ocean County,New Jersey,34029,No Data,No Data,No Data
Morris County,New Jersey,34027,No Data,No Data,No Data
Monmouth County,New Jersey,34025,No Data,No Data,No Data
Middlesex County,New Jersey,34023,No Data,No Data,No Data
Mercer County,New Jersey,34021,No Data,No Data,No Data
Hunterdon County,New Jersey,34019,No Data,No Data,No Data
Hudson County,New Jersey,34017,No Data,No Data,No Data
Gloucester County,New Jersey,34015,No Data,No Data,No Data
Essex County,New Jersey,34013,No Data,No Data,No Data
Cumberland County,New Jersey,34011,No Data,No Data,No Data
Cape May County,New Jersey,34009,No Data,No Data,No Data
Camden County,New Jersey,34007,No Data,No Data,No Data
Burlington County,New Jersey,34005,No Data,No Data,No Data
Bergen County,New Jersey,34003,No Data,No Data,No Data
Atlantic County,New Jersey,34001,No Data,No Data,No Data
Wrangell-Petersburg Census Area,Alaska,02280,No Data,No Data,No Data
Wade Hampton Census Area,Alaska,02270,No Data,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,02232,No Data,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,02201,No Data,No Data,No Data
Loving County,Texas,48301,Suppressed,Suppressed,Suppressed
Kalawao County,Hawaii,15005,12.6,7.7,18.7
King County,Texas,48269,17.9,11.2,26.1
Kenedy County,Texas,48261,23.7,14.3,34.8
Arthur County,Nebraska,31005,28.6,18.2,41.2
Mcpherson County,Nebraska,31117,37,22.8,53.9
Blaine County,Nebraska,31009,37.6,23.2,55.4
Petroleum County,Montana,30069,37.8,22.4,57.5
Grant County,Nebraska,31075,42.7,27,61.8
Hooker County,Nebraska,31091,49.1,32.3,72.6
Logan County,Nebraska,31113,50.3,28.9,73.7
Yakutat City and Borough,Alaska,02282,50.7,31.8,74.7
Borden County,Texas,48033,52.5,32.9,77.8
Clark County,Idaho,16033,55.9,34.6,85
Banner County,Nebraska,31007,56.7,36.8,83
Mcmullen County,Texas,48311,56.9,33.4,85.7
Kent County,Texas,48263,57.8,34.5,87.4
Roberts County,Texas,48393,57.9,34.5,83.6
Treasure County,Montana,30103,59.6,38.9,88.2
Harding County,New Mexico,35021,60.1,37.3,92.3
Slope County,North Dakota,38087,60.2,38.5,91.7
Thomas County,Nebraska,31171,61,39.5,90.6
San Juan County,Colorado,08111,61.9,36.9,89.6
Terrell County,Texas,48443,65.2,38.6,98.4
Wheeler County,Nebraska,31183,65.4,41.6,95.2
Loup County,Nebraska,31115,66.3,44.2,95.1
Jones County,South Dakota,46075,68,41.8,102
Hayes County,Nebraska,31085,68.5,41.5,101.2
Mineral County,Colorado,08079,68.9,44.4,100.5
Golden Valley County,Montana,30037,69,43.9,102.7
Bristol Bay Borough,Alaska,02060,70.1,45.9,100.7
Hinsdale County,Colorado,08053,70.4,42.4,106.1
Billings County,North Dakota,38007,70.5,44.2,105.3
Sterling County,Texas,48431,71.7,44.6,111
Skagway Municipality,Alaska,02230,73.7,46.6,111.8
Greeley County,Kansas,20071,76.2,47.3,110.3
Wibaux County,Montana,30109,77.8,49.9,116
Daggett County,Utah,49009,78.5,51.9,109.7
Glasscock County,Texas,48173,79.4,46.3,119.9
Keya Paha County,Nebraska,31103,80.7,52.7,115.6
Esmeralda County,Nevada,32009,81,51.3,118.1
Harding County,South Dakota,46063,82.3,50,127.8
Carter County,Montana,30011,84.8,52.9,126.4
Prairie County,Montana,30079,86.3,52.8,130.1
Camas County,Idaho,16025,87.2,54.6,126.3
Sioux County,Nebraska,31165,91,57.7,132.9
Alpine County,California,06003,91.2,56.9,141.8
Garfield County,Montana,30033,91.2,57.5,133.3
Foard County,Texas,48155,91.6,56.1,141.3
Kiowa County,Colorado,08061,100.4,59.2,152.7
Motley County,Texas,48345,101.2,61.6,147.4
Cottle County,Texas,48101,101.5,62.4,149.1
Issaquena County,Mississippi,28055,102.2,65,152.4
Irion County,Texas,48235,103.6,64.9,162.9
Rock County,Nebraska,31149,105,68.4,146.7
Lake and Peninsula Borough,Alaska,02164,106.2,65.2,154.5
Sully County,South Dakota,46119,108,64.4,159.9
Wallace County,Kansas,20199,108.2,64.8,154.5
Hyde County,South Dakota,46069,108.2,71.6,160.7
Jackson County,Colorado,08057,108.4,64.1,161.1
Campbell County,South Dakota,46021,108.6,67.3,161.9
Stonewall County,Texas,48433,110.1,66.5,167.4
Briscoe County,Texas,48045,116.1,71.2,169.2
Denali Borough,Alaska,02068,116.5,72.3,174
Buffalo County,South Dakota,46017,117,79.5,163.5
Wheeler County,Oregon,41069,120.8,73.7,177
Stanton County,Kansas,20187,121.2,77.5,179.7
Lane County,Kansas,20101,122.7,79.5,178.2
Throckmorton County,Texas,48447,123.3,74.1,190
Mccone County,Montana,30055,126.2,77.3,181.6
Piute County,Utah,49031,126.2,76.9,182.9
Clark County,Kansas,20025,128,78.5,189.7
Eureka County,Nevada,32011,130.2,76.2,195.9
Cheyenne County,Colorado,08017,130.3,84.8,189.3
Oldham County,Texas,48359,131.1,77.2,193.4
De Baca County,New Mexico,35011,134.6,84.4,197.4
Comanche County,Kansas,20033,135.1,87.5,195.8
Logan County,North Dakota,38047,135.9,90.9,198.4
Armstrong County,Texas,48011,136.2,80.5,215.4
Golden Valley County,North Dakota,38033,137.5,90.1,199.9
Deuel County,Nebraska,31049,137.8,94.3,198.2
Sheridan County,North Dakota,38083,139.8,96.5,193.2
Dundy County,Nebraska,31057,140,92.6,194
Garden County,Nebraska,31069,140.6,88.4,200.1
Daniels County,Montana,30019,140.7,88.2,206.8
Garfield County,Nebraska,31071,142,94.7,203.3
Rich County,Utah,49033,143.4,84.2,214.6
Powder River County,Montana,30075,145.5,92.8,212.6
Judith Basin County,Montana,30045,146.4,92.5,212.1
Oliver County,North Dakota,38065,146.8,96.6,208.8
Taliaferro County,Georgia,13265,147.6,94,216.2
Haakon County,South Dakota,46055,148.5,97,210.4
Jerauld County,South Dakota,46073,148.8,91,222.2
Worth County,Missouri,29227,149.8,97,218.2
Gilliam County,Oregon,41021,150,95.3,228.9
Sherman County,Oregon,41055,150,93,223.3
Cimarron County,Oklahoma,40025,151.4,93.4,226.1
Steele County,North Dakota,38091,151.7,100.1,214.1
Edwards County,Texas,48137,152.2,96.6,243
Kidder County,North Dakota,38043,152.9,93,226.5
Hodgeman County,Kansas,20083,153.2,97.6,220.4
Culberson County,Texas,48109,153.2,94.3,236.7
Gosper County,Nebraska,31073,155.1,97.5,219.3
Mellette County,South Dakota,46095,157.5,114.8,211.8
Miner County,South Dakota,46097,157.8,96.6,239.5
Dickens County,Texas,48125,158.6,99.8,236.7
Hamilton County,Kansas,20075,159.4,103.3,229.9
Wichita County,Kansas,20203,159.9,103,222.8
Liberty County,Montana,30051,159.9,105.4,234.1
Faulk County,South Dakota,46049,160,103.8,235.6
Robertson County,Kentucky,21201,162.1,105.4,235.3
Fallon County,Montana,30025,162.3,107,236.1
Meagher County,Montana,30059,162.6,104.3,241.2
Eddy County,North Dakota,38027,164.9,113.1,228.5
Towner County,North Dakota,38095,165.1,108.3,236.6
Burke County,North Dakota,38013,165.2,114.2,229.5
Niobrara County,Wyoming,56027,167.4,105.1,239
Renville County,North Dakota,38075,167.8,110.2,246
Cochran County,Texas,48079,171.7,106,254.3
Sanborn County,South Dakota,46111,172,110.2,258.1
Wheatland County,Montana,30107,172.8,112.8,247.5
Wayne County,Utah,49055,173.7,108.7,254.3
Butte County,Idaho,16023,175.2,117,261.2
Sheridan County,Kansas,20179,175.3,110,251.2
Adams County,North Dakota,38001,175.4,116,250.2
Dolores County,Colorado,08033,175.9,109.5,253.1
Sedgwick County,Colorado,08115,176.3,111.5,258.9
Harmon County,Oklahoma,40057,177.5,113.6,265.6
Sherman County,Texas,48421,178.1,111.4,256.1
Greeley County,Nebraska,31077,178.2,122.2,243.9
Schleicher County,Texas,48413,179.3,109.6,270.4
Divide County,North Dakota,38023,183.2,116.1,262.1
