State,County,median_household_income,total_population
Alabama,Autauga County,57982.0,55639.0
Alabama,Baldwin County,61756.0,218289.0
Alabama,Barbour County,34990.0,25026.0
Alabama,Bibb County,51721.0,22374.0
Alabama,Blount County,48922.0,57755.0
Alabama,Bullock County,33866.0,10173.0
Alabama,Butler County,44850.0,19726.0
Alabama,Calhoun County,50128.0,114324.0
Alabama,Cherokee County,42509.0,26035.0
Alabama,Chilton County,52141.0,44147.0
Alabama,Choctaw County,36634.0,12755.0
Alabama,Clarke County,37345.0,23866.0
Alabama,Clay County,42678.0,13285.0
Alabama,Cleburne County,46320.0,14952.0
Alabama,Coffee County,56799.0,52238.0
Alabama,Colbert County,47962.0,54957.0
Alabama,Conecuh County,35444.0,12219.0
Alabama,Coosa County,43571.0,10696.0
Alabama,Crenshaw County,42611.0,13826.0
Alabama,Cullman County,48388.0,83345.0
Alabama,Dallas County,33317.0,38184.0
Alabama,DeKalb County,42267.0,71430.0
Alabama,Escambia County,35558.0,36775.0
Alabama,Etowah County,44934.0,102721.0
Alabama,Franklin County,41174.0,31587.0
Alabama,Greene County,26688.0,8221.0
Alabama,Hale County,30793.0,14754.0
Alabama,Houston County,49069.0,105319.0
Alabama,Jackson County,42578.0,51765.0
Alabama,Lamar County,42688.0,13854.0
Alabama,Lauderdale County,48428.0,92870.0
Alabama,Lee County,52930.0,163461.0
Alabama,Lowndes County,33634.0,9936.0
Alabama,Macon County,35450.0,18437.0
Alabama,Marengo County,33029.0,19138.0
Alabama,Marion County,40978.0,29818.0
Alabama,Mobile County,49625.0,413977.0
Alabama,Monroe County,31969.0,21006.0
Alabama,Morgan County,52923.0,119352.0
Alabama,Pickens County,40362.0,20049.0
Alabama,Pike County,39218.0,33274.0
Alabama,Russell County,42208.0,57938.0
Alabama,St. Clair County,62531.0,88929.0
Alabama,Sumter County,26150.0,12595.0
Alabama,Tallapoosa County,48160.0,40450.0
Alabama,Tuscaloosa County,54283.0,208854.0
Alabama,Washington County,42331.0,16336.0
Alabama,Wilcox County,35063.0,10552.0
Alabama,Chambers County,43875.0,33427.0
Alabama,Covington County,42566.0,37096.0
Alabama,Dale County,45644.0,49293.0
Alabama,Elmore County,62324.0,81526.0
Alabama,Fayette County,41469.0,16406.0
Alabama,Geneva County,41569.0,26383.0
Alabama,Henry County,51715.0,17123.0
Alabama,Jefferson County,55088.0,658615.0
Alabama,Lawrence County,47125.0,32969.0
Alabama,Limestone County,64270.0,96921.0
Alabama,Madison County,66887.0,367686.0
Alabama,Marshall County,50216.0,96137.0
Alabama,Montgomery County,51963.0,226451.0
Alabama,Perry County,23875.0,9104.0
Alabama,Randolph County,45141.0,22732.0
Alabama,Shelby County,78889.0,216350.0
Alabama,Talladega County,43969.0,80244.0
Alabama,Walker County,45833.0,63802.0
Alabama,Winston County,40991.0,23712.0
Alaska,Aleutians West Census Area,87443.0,5708.0
Alaska,Anchorage Municipality,84813.0,292090.0
Alaska,Bristol Bay Borough,79808.0,739.0
Alaska,Chugach Census Area,90776.0,6495.0
Alaska,Denali Borough,76364.0,2502.0
Alaska,Dillingham Census Area,57436.0,4934.0
Alaska,Haines Borough,65014.0,2547.0
Alaska,Hoonah-Angoon Census Area,59926.0,2135.0
Alaska,Kenai Peninsula Borough,69245.0,58809.0
Alaska,Ketchikan Gateway Borough,74678.0,13833.0
Alaska,Kusilvak Census Area,37358.0,8298.0
Alaska,Matanuska-Susitna Borough,76118.0,107360.0
Alaska,Nome Census Area,62843.0,10009.0
Alaska,Northwest Arctic Borough,63750.0,7709.0
Alaska,Petersburg Borough,68667.0,3278.0
Alaska,Sitka City and Borough,81708.0,8569.0
Alaska,Skagway Municipality,71875.0,1300.0
Alaska,Wrangell City and Borough,58438.0,2510.0
Alaska,Yakutat City and Borough,59517.0,597.0
Alaska,Yukon-Koyukuk Census Area,41728.0,5305.0
Alaska,Aleutians East Borough,75833.0,3389.0
Alaska,Bethel Census Area,54400.0,18263.0
Alaska,Copper River Census Area,64745.0,2894.0
Alaska,Fairbanks North Star Borough,76464.0,98455.0
Alaska,Juneau City and Borough,88077.0,32099.0
Alaska,Kodiak Island Borough,79173.0,13383.0
Alaska,Lake and Peninsula Borough,48750.0,1156.0
Alaska,North Slope Borough,79083.0,9375.0
Alaska,Prince of Wales-Hyder Census Area,54018.0,6338.0
Alaska,Southeast Fairbanks Census Area,66941.0,6911.0
Arizona,Apache County,33967.0,71714.0
Arizona,Cochise County,51505.0,126442.0
Arizona,Coconino County,59000.0,142254.0
Arizona,Gila County,46907.0,53846.0
Arizona,Graham County,55693.0,38304.0
Arizona,Greenlee County,66368.0,9465.0
Arizona,La Paz County,34956.0,21035.0
Arizona,Maricopa County,67799.0,4412779.0
Arizona,Mohave County,47686.0,210998.0
Arizona,Navajo County,43140.0,110271.0
Arizona,Pima County,55023.0,1038476.0
Arizona,Pinal County,60968.0,447559.0
Arizona,Santa Cruz County,41424.0,46594.0
Arizona,Yavapai County,53329.0,232396.0
Arizona,Yuma County,48790.0,211931.0
Arkansas,Ashley County,43601.0,20000.0
Arkansas,Baxter County,43504.0,41673.0
Arkansas,Boone County,46392.0,37525.0
Arkansas,Calhoun County,50441.0,5160.0
Arkansas,Carroll County,48249.0,28062.0
Arkansas,Clark County,39500.0,22341.0
Arkansas,Clay County,37933.0,14710.0
Arkansas,Cleveland County,46349.0,8063.0
Arkansas,Columbia County,37609.0,23620.0
Arkansas,Craighead County,49730.0,109081.0
Arkansas,Crittenden County,42384.0,48381.0
Arkansas,Cross County,44379.0,16576.0
Arkansas,Desha County,31855.0,11538.0
Arkansas,Drew County,42924.0,18263.0
Arkansas,Franklin County,37561.0,17785.0
Arkansas,Fulton County,35274.0,12301.0
Arkansas,Grant County,59051.0,18229.0
Arkansas,Hempstead County,45484.0,21695.0
Arkansas,Hot Spring County,46390.0,33667.0
Arkansas,Independence County,48972.0,37585.0
Arkansas,Izard County,42818.0,13596.0
Arkansas,Jefferson County,40402.0,68123.0
Arkansas,Johnson County,39346.0,26475.0
Arkansas,Lawrence County,40587.0,16511.0
Arkansas,Lincoln County,46554.0,13278.0
Arkansas,Little River County,48966.0,12345.0
Arkansas,Lonoke County,59278.0,73163.0
Arkansas,Madison County,41446.0,16393.0
Arkansas,Miller County,45391.0,43515.0
Arkansas,Monroe County,38438.0,6879.0
Arkansas,Montgomery County,41165.0,8964.0
Arkansas,Nevada County,39946.0,8249.0
Arkansas,Newton County,39542.0,7753.0
Arkansas,Ouachita County,38279.0,23597.0
Arkansas,Perry County,44926.0,10342.0
Arkansas,Phillips County,33724.0,18151.0
Arkansas,Pike County,42983.0,10714.0
Arkansas,Poinsett County,40700.0,23747.0
Arkansas,Polk County,39084.0,19999.0
Arkansas,Pope County,46004.0,63926.0
Arkansas,Prairie County,42754.0,8138.0
Arkansas,Pulaski County,52930.0,393078.0
Arkansas,Randolph County,42844.0,17934.0
Arkansas,St. Francis County,36053.0,25477.0
Arkansas,Saline County,66876.0,120990.0
Arkansas,Scott County,42635.0,10269.0
Arkansas,Searcy County,35077.0,7898.0
Arkansas,Sebastian County,47878.0,127670.0
Arkansas,Sevier County,47872.0,16947.0
Arkansas,Sharp County,35573.0,17217.0
Arkansas,Stone County,36067.0,12582.0
Arkansas,Union County,45293.0,39089.0
Arkansas,Washington County,52380.0,236198.0
Arkansas,White County,44000.0,78725.0
Arkansas,Yell County,47981.0,21425.0
Arkansas,Arkansas County,51000.0,17761.0
Arkansas,Benton County,71556.0,273510.0
Arkansas,Bradley County,41808.0,10805.0
Arkansas,Chicot County,33523.0,10433.0
Arkansas,Cleburne County,45563.0,25063.0
Arkansas,Conway County,44456.0,20895.0
Arkansas,Crawford County,48980.0,63118.0
Arkansas,Dallas County,35134.0,7114.0
Arkansas,Faulkner County,54191.0,124800.0
Arkansas,Garland County,48150.0,99043.0
Arkansas,Greene County,50083.0,45197.0
Arkansas,Howard County,38038.0,13267.0
Arkansas,Jackson County,37885.0,16908.0
Arkansas,Lafayette County,33763.0,6728.0
Arkansas,Lee County,27902.0,8963.0
Arkansas,Logan County,44232.0,21619.0
Arkansas,Marion County,38426.0,16586.0
Arkansas,Mississippi County,42986.0,41396.0
Arkansas,Van Buren County,40442.0,16578.0
Arkansas,Woodruff County,40331.0,6477.0
California,Alameda County,104888.0,1661584.0
California,Alpine County,85750.0,1159.0
California,Butte County,54972.0,223344.0
