State,County,Diabetes Estimate
Hawaii,Kalawao County,12
Texas,King County,17.6
Texas,Kenedy County,26.5
Nebraska,Arthur County,29.3
Nebraska,Blaine County,33.1
Nebraska,Mcpherson County,36
Montana,Petroleum County,43
Nebraska,Grant County,46.4
Nebraska,Hooker County,47.5
Alaska,Yakutat City and Borough,49.6
Texas,Borden County,51.1
Texas,Roberts County,51.9
Texas,Mcmullen County,53.2
Idaho,Clark County,53.5
Texas,Kent County,53.5
Montana,Treasure County,54.1
Nebraska,Thomas County,54.9
Nebraska,Banner County,55.2
Nebraska,Logan County,55.3
Texas,Terrell County,57.5
Colorado,San Juan County,58.2
Nebraska,Wheeler County,58.6
North Dakota,Slope County,59.5
New Mexico,Harding County,60.7
Alaska,Bristol Bay Borough,62.3
Colorado,Mineral County,64.1
North Dakota,Billings County,64.3
Kansas,Greeley County,66
Colorado,Hinsdale County,66.1
Montana,Golden Valley County,67.7
Alaska,Skagway Municipality,67.8
Texas,Sterling County,69.3
South Dakota,Jones County,70.3
Nebraska,Loup County,71.2
Nebraska,Keya Paha County,71.4
Nebraska,Hayes County,72.6
Montana,Wibaux County,74.7
Nevada,Esmeralda County,76.8
Utah,Daggett County,78
South Dakota,Harding County,82
Texas,Glasscock County,82.7
Montana,Carter County,83.7
Nebraska,Sioux County,85.5
Montana,Garfield County,85.6
Texas,Foard County,85.7
California,Alpine County,86.8
Idaho,Camas County,87
Alaska,Lake and Peninsula Borough,87.9
Montana,Prairie County,88.5
Mississippi,Issaquena County,93
Texas,Motley County,93.7
Kansas,Wallace County,96
South Dakota,Hyde County,96.5
Texas,Stonewall County,98.3
Texas,Cottle County,99.3
South Dakota,Sully County,99.5
Texas,Irion County,106.9
Colorado,Kiowa County,107.2
South Dakota,Campbell County,107.3
Texas,Briscoe County,108
Kansas,Clark County,108.1
Texas,Throckmorton County,108.3
Kansas,Lane County,109.6
Utah,Piute County,112.2
Kansas,Stanton County,112.8
Colorado,Jackson County,113.1
Alaska,Denali Borough,115.1
Montana,Mccone County,115.1
Colorado,Cheyenne County,120.2
Nebraska,Deuel County,122.5
Oregon,Wheeler County,123.7
North Dakota,Oliver County,124.9
Texas,Armstrong County,126
Kansas,Hodgeman County,127.9
Kansas,Comanche County,128.8
Texas,Oldham County,129.1
South Dakota,Buffalo County,130.3
Utah,Rich County,132.2
South Dakota,Faulk County,135.5
Montana,Judith Basin County,136
Nebraska,Rock County,136
Nevada,Eureka County,136.5
Texas,Culberson County,136.9
Kansas,Hamilton County,138
Oregon,Sherman County,138.2
North Dakota,Sheridan County,138.3
Montana,Daniels County,139
Montana,Meagher County,141.1
Nebraska,Garden County,141.2
Montana,Fallon County,141.9
North Dakota,Golden Valley County,142.3
Georgia,Taliaferro County,142.7
Oklahoma,Cimarron County,144.1
South Dakota,Haakon County,144.5
Missouri,Worth County,144.7
North Dakota,Renville County,144.9
Oregon,Gilliam County,146.4
Nebraska,Dundy County,146.8
North Dakota,Logan County,148.9
Texas,Dickens County,149.2
Texas,Edwards County,149.6
South Dakota,Jerauld County,149.7
Nebraska,Gosper County,150.3
North Dakota,Burke County,150.4
New Mexico,De Baca County,152.1
Kansas,Wichita County,152.5
Montana,Wheatland County,153.3
Wyoming,Niobrara County,154.5
Nebraska,Garfield County,155.8
South Dakota,Mcpherson County,157.6
North Dakota,Towner County,157.9
Kentucky,Robertson County,158
North Dakota,Bowman County,162.5
Oklahoma,Harmon County,163.3
North Dakota,Kidder County,163.4
South Dakota,Mellette County,164
South Dakota,Miner County,164.9
Colorado,Sedgwick County,165.2
North Dakota,Steele County,165.4
North Dakota,Adams County,165.6
South Dakota,Sanborn County,165.7
Nebraska,Greeley County,166.2
Kansas,Sheridan County,166.3
North Dakota,Eddy County,167.5
Nebraska,Boyd County,167.8
Texas,Cochran County,167.8
Colorado,Dolores County,167.9
Kansas,Graham County,168.2
North Dakota,Hettinger County,168.2
Montana,Liberty County,169.8
Texas,Sherman County,170.2
North Dakota,Griggs County,170.7
Texas,Schleicher County,174.2
Texas,Menard County,174.6
Kansas,Morton County,175.2
Texas,Collingsworth County,175.7
North Dakota,Divide County,177.5
Alaska,Hoonah-Angoon Census Area,177.6
South Dakota,Potter County,180.4
Texas,Reagan County,185.7
Texas,Lipscomb County,186.3
Washington,Garfield County,186.4
Kansas,Logan County,186.5
Montana,Powder River County,186.6
Kansas,Kiowa County,187.7
South Dakota,Aurora County,188
Michigan,Keweenaw County,189.1
Kansas,Rawlins County,190.9
Nebraska,Perkins County,191.7
Nebraska,Frontier County,192.5
Utah,Wayne County,195.4
Virginia,Highland County,195.7
Alaska,Haines Borough,195.8
Nebraska,Pawnee County,198.7
Kansas,Chase County,198.8
Texas,Upton County,199.2
South Dakota,Stanley County,200.9
Texas,Hemphill County,204
South Dakota,Douglas County,204.7
South Dakota,Perkins County,205
Kansas,Gove County,205.6
South Dakota,Hanson County,205.6
Kansas,Cheyenne County,208.5
Georgia,Glascock County,209
Georgia,Webster County,209.3
Texas,Crockett County,210.6
Kansas,Decatur County,210.7
Georgia,Quitman County,211
Idaho,Butte County,211.6
North Dakota,Grant County,214.3
Texas,Hall County,214.3
Texas,Concho County,220.5
Texas,Jeff Davis County,222.8
Alaska,Wrangell City and Borough,223.3
Texas,Shackelford County,223.3
Texas,Donley County,226.1
Nebraska,Franklin County,226.2
Kansas,Kearny County,228.4
Texas,Knox County,229.1
Georgia,Echols County,231.2
Oklahoma,Harper County,231.5
Texas,Crane County,232.1
Kansas,Chautauqua County,232.6
Alaska,Petersburg Census Area,233.5
Alaska,Dillingham Census Area,234.7
South Dakota,Hand County,235.3
Nebraska,Hitchcock County,235.8
Kansas,Rush County,236
Kansas,Haskell County,237
California,Sierra County,237.2
Oklahoma,Roger Mills County,237.5
Texas,Coke County,238.4
Nebraska,Harlan County,239.9
South Dakota,Clark County,241.4
Texas,Sutton County,241.8
Kansas,Meade County,243.5
Nebraska,Webster County,244.7
South Dakota,Jackson County,245.2
South Dakota,Deuel County,245.8
Texas,Baylor County,245.8
Kansas,Elk County,248.5
Kansas,Lincoln County,249.1
Nebraska,Nance County,251.2
Georgia,Baker County,251.7
South Dakota,Edmunds County,251.7
Kansas,Woodson County,254
Nebraska,Sherman County,254.3
Iowa,Adams County,255.7
North Dakota,Foster County,256.6
Georgia,Clay County,257
Texas,Kinney County,257
Montana,Granite County,257.5
Nebraska,Johnson County,257.9
Kansas,Jewell County,260.4
South Dakota,Lyman County,261.5
Kansas,Ness County,262.2
South Dakota,Ziebach County,264.4
Montana,Sweet Grass County,265.5
North Dakota,Mcintosh County,266.9
Virginia,Norton City,268.4
North Dakota,Sioux County,268.9
Texas,Fisher County,268.9
North Dakota,Pierce County,271.4
Oklahoma,Ellis County,272.7
Texas,Hardeman County,274.2
Kansas,Gray County,274.7
Texas,Hudspeth County,275.1
Texas,Jim Hogg County,276.1
Minnesota,Traverse County,277.5
Colorado,Baca County,278.9
Texas,Martin County,279.3
Missouri,Knox County,279.8
Kansas,Trego County,279.9
Missouri,Mercer County,280.8
Kansas,Edwards County,281.1
South Dakota,Marshall County,282.9
North Dakota,Dunn County,283
Texas,Real County,283.5
Nebraska,Brown County,284.9
North Carolina,Tyrrell County,285
Texas,Hansford County,285.4
North Dakota,Cavalier County,285.8
Kansas,Smith County,291.9
New Mexico,Hidalgo County,293.9
New Mexico,Union County,296.3
Illinois,Hardin County,296.9
South Dakota,Bennett County,296.9
North Dakota,Emmons County,297.7
Kansas,Osborne County,298.8
Missouri,Schuyler County,299.9
Nebraska,Valley County,301
Montana,Sheridan County,301.2
North Dakota,Nelson County,301.3
Kentucky,Owsley County,301.6
Missouri,Scotland County,304
Kansas,Stafford County,305
Colorado,Costilla County,305.5
North Dakota,Dickey County,310.7
Nebraska,Nuckolls County,311.4
Kansas,Barber County,313
Montana,Phillips County,314.6
Minnesota,Lake Of The Woods County,316.5
North Dakota,Lamoure County,319.1
Kentucky,Carlisle County,319.3
Texas,Wheeler County,320.4
Colorado,Phillips County,320.6
Utah,Beaver County,320.8
Nebraska,Kimball County,321.6
North Dakota,Sargent County,324.5
Oklahoma,Beaver County,325.2
South Dakota,Gregory County,325.5
Montana,Toole County,327.5
Minnesota,Big Stone County,329.1
South Dakota,Brule County,329.3
Nebraska,Chase County,330.1
Texas,Hartley County,330.6
Texas,Garza County,332.4
Oklahoma,Dewey County,333.6
Texas,Crosby County,333.6
Idaho,Lincoln County,334.6
Texas,Mason County,335.4
Illinois,Scott County,336.3
Kansas,Sherman County,336.4
North Dakota,Wells County,336.6
Colorado,Rio Blanco County,336.7
Alaska,Kusilvak Census Area,337
Illinois,Calhoun County,337
Kansas,Scott County,337.1
Texas,Dallam County,338.1
Montana,Mineral County,338.4
South Dakota,Corson County,338.9
Texas,Lynn County,339.1
Illinois,Gallatin County,339.9
Mississippi,Sharkey County,339.9
Minnesota,Kittson County,341.5
Idaho,Oneida County,341.7
Louisiana,Tensas Parish,342.4
Kansas,Rooks County,344.2
Nebraska,Polk County,344.9
Colorado,Washington County,345.1
New Mexico,Guadalupe County,345.6
Texas,Bailey County,346.1
Kansas,Stevens County,347.9
Texas,Kimble County,348.1
Kansas,Grant County,349.3
Alaska,Aleutians East Borough,350.3
Colorado,Crowley County,350.3
Texas,Floyd County,352.4
Oklahoma,Grant County,352.5
Nebraska,Clay County,352.6
Illinois,Pope County,353.3
Kentucky,Hickman County,353.6
Missouri,Holt County,354.1
Minnesota,Red Lake County,354.3
Virginia,Lexington City,354.4
Georgia,Schley County,354.9
Georgia,Chattahoochee County,356.2
Idaho,Adams County,356.3
Kansas,Phillips County,356.6
Texas,Delta County,356.6
Montana,Musselshell County,357.5
Wyoming,Hot Springs County,357.7
Kansas,Harper County,358.9
Illinois,Stark County,359
Idaho,Custer County,360.4
South Dakota,Day County,365.4
Missouri,Putnam County,365.9
Colorado,Lincoln County,366
Nevada,Lander County,366.5
Oklahoma,Greer County,366.8
Nevada,Mineral County,367.1
Pennsylvania,Cameron County,367.7
Montana,Teton County,369.8
Virginia,Covington City,370.9
Utah,Garfield County,373
Missouri,Shelby County,374.9
Texas,La Salle County,377.4
Minnesota,Grant County,377.7
Texas,Childress County,378.4
Montana,Chouteau County,378.9
South Dakota,Tripp County,378.9
Virginia,Buena Vista City,382.9
Illinois,Brown County,384
Alaska,Northwest Arctic Borough,384.9
South Dakota,Kingsbury County,384.9
Colorado,Ouray County,385.4
Texas,Brooks County,385.4
Nebraska,Sheridan County,387.1
Texas,Mills County,387.1
Alaska,Yukon-Koyukuk Census Area,388.6
Washington,Columbia County,388.9
Kansas,Washington County,389.7
Texas,Winkler County,389.9
South Dakota,Hamlin County,390.1
Virginia,Bath County,390.5
Texas,Carson County,390.6
Nebraska,Boone County,390.8
Virginia,Emporia City,392.6
Illinois,Pulaski County,393.2
Nebraska,Morrill County,393.5
Texas,Haskell County,395.4
Virginia,Craig County,395.6
South Dakota,Mccook County,396.2
North Carolina,Hyde County,397
Wisconsin,Florence County,397.3
Nebraska,Stanton County,398.7
Texas,Yoakum County,399.1
South Dakota,Moody County,400
Oklahoma,Cotton County,400.1
Iowa,Ida County,401
Texas,San Saba County,401.3
Wisconsin,Menominee County,401.4
Colorado,Kit Carson County,401.6
Missouri,Carter County,401.8
Texas,Castro County,401.9
Virginia,Galax City,402.6
New Mexico,Mora County,405
Kansas,Republic County,405.2
Oklahoma,Alfalfa County,406
Idaho,Caribou County,409.7
Colorado,Bent County,411
Illinois,Putnam County,411.8
Indiana,Ohio County,412.6
West Virginia,Wirt County,412.9
Illinois,Edwards County,413.1
Texas,Presidio County,414.4
Georgia,Miller County,416.8
Nebraska,Cherry County,417.3
Missouri,Atchison County,418.7
Nebraska,Furnas County,419.4
Tennessee,Van Buren County,419.9
North Dakota,Ransom County,421.6
Iowa,Ringgold County,421.9
Louisiana,East Carroll Parish,422.1
New Mexico,Catron County,423.4
Illinois,Alexander County,423.9
Idaho,Power County,426
Missouri,Gentry County,429.1
Alaska,Southeast Fairbanks Census Area,429.6
Minnesota,Wilkin County,429.8
Nebraska,Nemaha County,429.8
Kansas,Ellsworth County,431.1
Nebraska,Thayer County,431.4
Nevada,Storey County,431.6
North Dakota,Mchenry County,432.7
New York,Hamilton County,433.4
Nebraska,Dixon County,436
Kansas,Norton County,436.4
Missouri,Reynolds County,436.4
Iowa,Taylor County,437.9
Colorado,Gilpin County,439.4
Texas,Swisher County,440.9
Iowa,Osceola County,441.7
Louisiana,Cameron Parish,442.2
Alaska,Nome Census Area,442.7
Michigan,Luce County,445.6
Tennessee,Pickett County,446.8
South Dakota,Hutchinson County,447.1
Idaho,Bear Lake County,448.6
Georgia,Stewart County,449
Iowa,Decatur County,449.7
Nevada,Pershing County,451
Kentucky,Fulton County,451.1
Oklahoma,Jefferson County,452.6
Minnesota,Mahnomen County,455.5
Oklahoma,Coal County,457.1
Nebraska,Howard County,459
Nebraska,Dawes County,459.7
Texas,Mitchell County,460.4
Wyoming,Weston County,460.6
North Dakota,Benson County,461.9
Colorado,Lake County,463.6
Texas,Ochiltree County,463.6
South Dakota,Grant County,463.7
Minnesota,Cook County,464.6
Nevada,Lincoln County,465.5
Minnesota,Lincoln County,466.7
Nebraska,Fillmore County,467.2
South Dakota,Spink County,467.2
Tennessee,Hancock County,467.8
Montana,Broadwater County,469.4
Illinois,Schuyler County,471.1
Kansas,Anderson County,472.2
Nebraska,Cedar County,475.3
Tennessee,Moore County,476.4
Kansas,Morris County,476.5
Texas,Refugio County,477.6
Kentucky,Cumberland County,477.8
Idaho,Lewis County,478.9
Tennessee,Lake County,480.5
Wyoming,Crook County,482.6
Arkansas,Calhoun County,484.2
Kansas,Mitchell County,484.5
Kansas,Ottawa County,484.7
Missouri,Sullivan County,484.7
Nebraska,Keith County,485.7
Iowa,Pocahontas County,488.7
Georgia,Calhoun County,489
Wisconsin,Iron County,489.6
Georgia,Warren County,489.8
Iowa,Audubon County,490
Montana,Pondera County,491.6
Nebraska,Kearney County,492.6
Georgia,Atkinson County,498.7
Montana,Powell County,499.3
Kentucky,Nicholas County,501.1
South Dakota,Walworth County,501.1
Indiana,Union County,501.5
Montana,Blaine County,502.8
Iowa,Van Buren County,505
Pennsylvania,Sullivan County,505
Colorado,Saguache County,505.1
Texas,Parmer County,507
North Dakota,Pembina County,507.6
Utah,Morgan County,508.2
Kansas,Russell County,508.9
West Virginia,Pleasants County,511.9
South Dakota,Dewey County,514.4
North Dakota,Bottineau County,514.5
Arizona,Greenlee County,514.7
Iowa,Monroe County,515
Colorado,Custer County,517.4
South Dakota,Bon Homme County,517.4
Kansas,Kingman County,517.6
Arkansas,Woodruff County,518.6
Kansas,Greenwood County,519.1
Minnesota,Pipestone County,519.1
Vermont,Grand Isle County,519.3
Nebraska,Antelope County,522.8
Illinois,Henderson County,523.4
Indiana,Benton County,524.4
Wyoming,Johnson County,525.1
Iowa,Adair County,525.7
Kansas,Nemaha County,526.5
Iowa,Worth County,527.2
Missouri,Dade County,527.2
Nebraska,Jefferson County,529.1
Iowa,Fremont County,531.1
Alaska,Prince of Wales-Hyder Censu,532.7
Illinois,Hamilton County,533.1
Colorado,San Miguel County,533.4
Alaska,Sitka City and Borough,534.9
Colorado,Conejos County,534.9
Oklahoma,Major County,535.3
Georgia,Talbot County,537.4
Kentucky,Bracken County,540.7
Kentucky,Elliott County,542.3
Wisconsin,Pepin County,543.1
Minnesota,Norman County,546.5
Texas,Jack County,546.8
Oklahoma,Tillman County,547.4
Nebraska,Burt County,548.1
Tennessee,Clay County,550.4
Alaska,Aleutians West Census Area,552.2
Georgia,Wheeler County,552.8
Texas,Goliad County,553.4
Mississippi,Wilkinson County,553.7
Nebraska,Pierce County,554
Minnesota,Murray County,555.4
Kansas,Thomas County,555.8
South Dakota,Fall River County,556.6
Virginia,Surry County,557
Texas,Mcculloch County,558
Michigan,Ontonagon County,558.3
Texas,Dimmit County,558.6
Oregon,Harney County,559.3
Missouri,Clark County,559.5
Virginia,King And Queen County,559.5
Minnesota,Stevens County,562.1
Utah,Kane County,563.5
North Dakota,Traill County,566
Arkansas,Lafayette County,568.9
Virginia,Franklin City,569.4
Wyoming,Sublette County,570.2
Nebraska,Thurston County,570.7
Iowa,Wayne County,571.4
Georgia,Clinch County,571.7
Kansas,Pawnee County,573.4
Tennessee,Houston County,575.2
Iowa,Howard County,575.6
Nebraska,Butler County,576.3
Kentucky,Ballard County,580.2
Oklahoma,Woods County,582.8
Pennsylvania,Forest County,582.8
Georgia,Treutlen County,583.6
Utah,Grand County,585.2
Nebraska,Wayne County,587.2
