State,County,median_household_income,total_population,Diabetes Estimate
Louisiana,Winn Parish,37764.0,14165.0,1001
Wyoming,Converse County,73806.0,13842.0,1001.7
South Dakota,Hughes County,69575.0,17560.0,1003.1
Tennessee,Crockett County,47581.0,14310.0,1003.1
Iowa,Cass County,52005.0,12990.0,1004.2
Mississippi,Noxubee County,36958.0,10566.0,1004.5
Wyoming,Goshen County,55955.0,13301.0,1005.7
Missouri,Jasper County,49155.0,120528.0,10064.8
Kentucky,Morgan County,37399.0,13270.0,1007.5
Nebraska,Seward County,71111.0,17217.0,1007.5
California,Kings County,61556.0,151090.0,10074.9
Texas,Guadalupe County,75774.0,163030.0,10075.9
California,Alameda County,104888.0,1661584.0,100798.3
Mississippi,Perry County,47173.0,11981.0,1008.1
Texas,Taylor County,55568.0,137521.0,10088.3
Georgia,Dade County,40384.0,16183.0,1010.4
Iowa,Madison County,71811.0,16148.0,1011.1
Montana,Park County,53082.0,16513.0,1013.8
New Hampshire,Strafford County,72682.0,130161.0,10139.5
Wisconsin,Buffalo County,58364.0,13087.0,1015.8
Connecticut,Windham County,67365.0,116657.0,10155.3
Kentucky,Union County,49812.0,14582.0,1016.4
Kansas,Linn County,48325.0,9687.0,1019
Georgia,Wilkes County,36486.0,9797.0,1020.5
Michigan,Bay County,48290.0,103506.0,10205.8
Alabama,Cleburne County,46320.0,14952.0,1022.3
Oklahoma,Washita County,52591.0,11066.0,1023.4
Minnesota,Chippewa County,57301.0,11876.0,1024.7
Ohio,Franklin County,62352.0,1304715.0,102497.3
Louisiana,Bienville Parish,27815.0,13391.0,1025.9
North Carolina,Cleveland County,43512.0,97765.0,10251.9
Washington,San Juan County,64753.0,16953.0,1026.3
Colorado,Archuleta County,55658.0,13588.0,1027.4
South Carolina,Pickens County,51032.0,125381.0,10280.9
North Carolina,Clay County,42160.0,11150.0,1029.6
Ohio,Allen County,51892.0,102808.0,10298.7
Kansas,Marion County,50816.0,11865.0,1030.8
Virginia,Manassas Park City,81639.0,17548.0,1031.1
Alabama,Wilcox County,35063.0,10552.0,1031.7
Kentucky,Estill County,32800.0,14187.0,1032.8
Illinois,Richland County,55032.0,15677.0,1033.2
Tennessee,Decatur County,40389.0,11663.0,1033.2
Montana,Sanders County,42284.0,11804.0,1034.6
